Unnamed: 0,1a,2a,3a,4a,5a,1b,2b,3b,4b,5b
1,-0.5735975076225008,,,,,,,,,
2,0.09559047311793431,,,,,,,,,
3,-0.2539791693380157,,,,,,,,,
4,-0.314831537642837,,,,,,,,,
5,-0.1344450334012365,,,,,,,,,
6,0.12778985338618318,,,,,,,,,
7,0.027100024789895538,,,,,,,,,
8,-0.0587535730219193,,,,,,,,,
9,-0.24947948812175388,,,,,,,,,
10,-0.28057877134084974,,,,,,,,,
11,-0.2022787054302443,,,,,,,,,
12,-0.3047621484434997,,,,,,,,,
13,-0.0845948966220336,,,,,,,,,
14,-0.1577853563874252,,,,,,,,,
15,-0.018353570701358235,,,,,,,,,
